block_id,dataset,backbone,pred_len,seed,val_order,condition,arms,realised_mse,rel_gain_vs_best_fixed,oracle_headroom_pct,best_fixed_mse,oracle_mse,random_arm_mse,best_fixed_arm,oracle_match_acc,n_arms
ETTh1_h192_DLinear,ETTh1,DLinear,192,2021,deterministic,index,fredf|none|revin|san_lite,0.44462064982524546,0.32433252954128233,4.223034278373199,0.4460673914794897,0.4272298126326657,0.44981823781246855,none,0.3313499442171811,4
ETTh1_h192_DLinear,ETTh1,DLinear,192,2021,deterministic,defect,fredf|none|revin|san_lite,0.44792206834221737,-0.4157840044250231,4.223034278373199,0.4460673914794897,0.4272298126326657,0.44981823781246855,none,0.23205652658981032,4
ETTh1_h192_DLinear,ETTh1,DLinear,192,2021,deterministic,control,fredf|none|revin|san_lite,0.44690610356448796,-0.18802362625442307,4.223034278373199,0.4460673914794897,0.4272298126326657,0.44981823781246855,none,0.20862774265526218,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2021,deterministic,index,fredf|none|revin|san_lite,0.48537966913464964,0.27406314018540356,4.931873608325503,0.48671357163277496,0.4627094734452797,0.4908788439245027,none,0.2656188605108055,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2021,deterministic,defect,fredf|none|revin|san_lite,0.4914283148666262,-0.9686894939121418,4.931873608325503,0.48671357163277496,0.4627094734452797,0.4908788439245027,none,0.20078585461689588,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2021,deterministic,control,fredf|none|revin|san_lite,0.48686489021379964,-0.031089862671603078,4.931873608325503,0.48671357163277496,0.4627094734452797,0.4908788439245027,none,0.23968565815324164,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2021,shuffled,index,fredf|none|revin|san_lite,0.4871725784537834,0.2870525187728736,5.1925657623162556,0.4885750454277796,0.4632054648956756,0.4913584053370011,none,0.23772102161100198,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2021,shuffled,defect,fredf|none|revin|san_lite,0.49164694264267655,-0.6287462373784013,5.1925657623162556,0.4885750454277796,0.4632054648956756,0.4913584053370011,none,0.2200392927308448,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2021,shuffled,control,fredf|none|revin|san_lite,0.4888056329987607,-0.04719593707026225,5.1925657623162556,0.4885750454277796,0.4632054648956756,0.4913584053370011,none,0.212573673870334,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2022,deterministic,index,fredf|none|revin|san_lite,0.4868587029472081,0.21138575838834986,5.105520867935471,0.4878900329935527,0.4629807055464896,0.4912021169874429,none,0.2597249508840864,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2022,deterministic,defect,fredf|none|revin|san_lite,0.49119916656630913,-0.6782539812204252,5.105520867935471,0.4878900329935527,0.4629807055464896,0.4912021169874429,none,0.21611001964636542,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2022,deterministic,control,fredf|none|revin|san_lite,0.48793239611071076,-0.008682923260006534,5.105520867935471,0.4878900329935527,0.4629807055464896,0.4912021169874429,none,0.2263261296660118,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2022,shuffled,index,fredf|none|revin|san_lite,0.4859750463416862,0.25884975033763885,5.000371409392924,0.48723625617434796,0.4628726337244094,0.49106293824923997,none,0.26286836935166996,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2022,shuffled,defect,fredf|none|revin|san_lite,0.48777086292128197,-0.10972228362716692,5.000371409392924,0.48723625617434796,0.4628726337244094,0.49106293824923997,none,0.29390962671905696,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2022,shuffled,control,fredf|none|revin|san_lite,0.48750579509964626,-0.05531996477738447,5.000371409392924,0.48723625617434796,0.4628726337244094,0.49106293824923997,none,0.23339882121807465,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2023,deterministic,index,fredf|none|revin|san_lite,0.4884523217183902,0.1971719670198325,5.3735250390204685,0.48941731546623063,0.46311835347435093,0.4916268875035649,none,0.24282907662082515,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2023,deterministic,defect,fredf|none|revin|san_lite,0.49190965853997437,-0.5092470157843672,5.3735250390204685,0.48941731546623063,0.46311835347435093,0.4916268875035649,none,0.23143418467583496,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2023,deterministic,control,fredf|none|revin|san_lite,0.48925181888409824,0.03381502388707458,5.3735250390204685,0.48941731546623063,0.46311835347435093,0.4916268875035649,none,0.2149312377210216,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2023,shuffled,index,fredf|none|revin|san_lite,0.4860700663098652,0.18797366191802325,4.9705848596758395,0.48698547073220927,0.46277944465517296,0.49098901744119544,none,0.2644400785854617,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2023,shuffled,defect,fredf|none|revin|san_lite,0.49230321628756984,-1.0919721172307368,4.9705848596758395,0.48698547073220927,0.46277944465517296,0.49098901744119544,none,0.21964636542239685,4
ETTh1_h336_DLinear,ETTh1,DLinear,336,2023,shuffled,control,fredf|none|revin|san_lite,0.4869544289259639,0.006374277696351933,4.9705848596758395,0.48698547073220927,0.46277944465517296,0.49098901744119544,none,0.2412573673870334,4
ETTh1_h336_PatchTST,ETTh1,PatchTST,336,2021,deterministic,index,fredf|none|san_lite,0.47500960422873734,-1.0290925275256089,3.884331266009623,0.4701711084847366,0.45190810511411994,0.48585584228071577,none,0.4581532416502947,3
ETTh1_h336_PatchTST,ETTh1,PatchTST,336,2021,deterministic,defect,fredf|none|san_lite,0.4787521502240936,-1.8250891185151592,3.884331266009623,0.4701711084847366,0.45190810511411994,0.48585584228071577,none,0.4066797642436149,3
ETTh1_h336_PatchTST,ETTh1,PatchTST,336,2021,deterministic,control,fredf|none|san_lite,0.47483077192704665,-0.9910569488897736,3.884331266009623,0.4701711084847366,0.45190810511411994,0.48585584228071577,none,0.44282907662082516,3
ETTh1_h336_iTransformer,ETTh1,iTransformer,336,2021,deterministic,index,fredf|none|san_lite,0.49158223877370005,-4.8361241231932235,2.3091635120002976,0.468905391996408,0.458077599778625,0.4921817649011918,fredf,0.4208251473477407,3
ETTh1_h336_iTransformer,ETTh1,iTransformer,336,2021,deterministic,defect,fredf|none|san_lite,0.4907912894702848,-4.667444189689422,2.3091635120002976,0.468905391996408,0.458077599778625,0.4921817649011918,fredf,0.3599214145383104,3
ETTh1_h336_iTransformer,ETTh1,iTransformer,336,2021,deterministic,control,fredf|none|san_lite,0.48728746241342813,-3.920208794946194,2.3091635120002976,0.468905391996408,0.458077599778625,0.4921817649011918,fredf,0.4388998035363458,3
ETTh1_h720_DLinear,ETTh1,DLinear,720,2021,deterministic,index,fredf|none|revin|san_lite,0.5190844921975266,0.18957915012256488,9.450127834116664,0.5200704373126226,0.4709231161591302,0.5016505934577306,none,0.04766311892642295,4
ETTh1_h720_DLinear,ETTh1,DLinear,720,2021,deterministic,defect,fredf|none|revin|san_lite,0.5111221971472123,1.7205823525845527,9.450127834116664,0.5200704373126226,0.4709231161591302,0.5016505934577306,none,0.13882461823229986,4
ETTh1_h720_DLinear,ETTh1,DLinear,720,2021,deterministic,control,fredf|none|revin|san_lite,0.5200724042796913,-0.0003782116666410141,9.450127834116664,0.5200704373126226,0.4709231161591302,0.5016505934577306,none,0.029153169828782972,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2021,deterministic,index,fredf|none|revin|san_lite,0.3993436233145544,-0.88459273684663,3.9371278161076404,0.39584203343738134,0.3802572266310721,0.39908340431254896,none,0.20718132854578097,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2021,deterministic,defect,fredf|none|revin|san_lite,0.3990164299948639,-0.8019351886198172,3.9371278161076404,0.39584203343738134,0.3802572266310721,0.39908340431254896,none,0.2563734290843806,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2021,deterministic,control,fredf|none|revin|san_lite,0.3966270424733256,-0.19831371345974863,3.9371278161076404,0.39584203343738134,0.3802572266310721,0.39908340431254896,none,0.1770197486535009,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2021,shuffled,index,fredf|none|revin|san_lite,0.39992870682017806,-0.7980540929877371,4.118954450414205,0.39676232881563145,0.38041986921531296,0.39926371219930784,none,0.2089766606822262,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2021,shuffled,defect,fredf|none|revin|san_lite,0.3985692813270182,-0.45542441410217616,4.118954450414205,0.39676232881563145,0.38041986921531296,0.39926371219930784,none,0.2466786355475763,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2021,shuffled,control,fredf|none|revin|san_lite,0.397396023156827,-0.15971635792318403,4.118954450414205,0.39676232881563145,0.38041986921531296,0.39926371219930784,none,0.15116696588868941,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2022,deterministic,index,fredf|none|revin|san_lite,0.39937461005721103,-0.9316302779887313,3.8989004877313507,0.39568825843518257,0.38026076699715755,0.3989838950108583,none,0.20682226211849192,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2022,deterministic,defect,fredf|none|revin|san_lite,0.3974748956985919,-0.45152647957634495,3.8989004877313507,0.39568825843518257,0.38026076699715755,0.3989838950108583,none,0.23913824057450628,4
ETTh1_h96_DLinear,ETTh1,DLinear,96,2022,deterministic,control,fredf|none|revin|san_lite,0.39563095472766424,0.01448203384779413,3.8989004877313507,0.39568825843518257,0.38026076699715755,0.3989838950108583,none,0.17737881508078995,4
