block_id,seed,condition,n_arms,n,m_pairs,rho_bar,p_mc,p_analytic,p_analytic_naive,z_analytic,z_analytic_naive,null_sd_mc,null_sd_theory_corrected,null_sd_theory_naive,abs_err_corrected,abs_err_naive,sd_ratio_corrected,sd_ratio_naive
ETTh1_h336_DLinear,2021,intact,4,2545,6,0.9755452794976435,0.0004997501249375312,0.0,0.0,120.52624060192231,49.20463168177102,0.00807620758027229,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9977957542598291,0.4073484109086759
ETTh1_h336_DLinear,2021,independent,4,2545,6,0.010971443635018492,0.08845577211394302,0.08762993286420795,0.29000210806025284,1.3554951093460363,0.5533785611226464,0.008194237539314825,0.0080940488529772,0.019826289642953604,0.0008258392497350747,0.20154633594630983,1.0123780679061225,0.4133016155257831
ETTh1_h336_DLinear,2021,all_shared,4,2545,6,0.9755452794976435,0.0004997501249375312,0.0,0.0,120.52624060192231,49.20463168177102,0.008079818105622279,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9982418258632468,0.4075305188781957
ETTh1_h336_DLinear,2021,shared_k3,4,2545,6,0.4989410567002834,0.0004997501249375312,0.0,4.765831482645931e-140,61.6429509832721,25.16562935806854,0.008038252570291029,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9931065053226547,0.405434033046515
ETTh1_h336_DLinear,2021,shared_k2,4,2545,6,0.16189134196010915,0.0004997501249375312,2.683822842599413e-89,1.6006839295241604e-16,20.001280558192,8.165488594969984,0.00796102810817261,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249373712,0.9835656113249598,0.40153897938245914
ETTh1_h336_DLinear,2021,two_pairs,4,2545,6,0.3197860221705765,0.0004997501249375312,0.0,7.928532307367138e-59,39.50878330230869,16.12939324147474,0.00796053377733864,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9835045379557538,0.40151404628388787
ETTh1_h336_DLinear,2022,intact,4,2545,6,0.9758315344719288,0.0004997501249375312,0.0,0.0,120.56160670601743,49.21906983330822,0.007923117708506665,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.978881873883469,0.3996268515789889
ETTh1_h336_DLinear,2022,independent,4,2545,6,-0.0019262143128683919,0.5922038980509745,0.5940513407022163,0.5386981707525692,-0.23797908165082057,-0.09715455325010756,0.00812059526897009,0.0080940488529772,0.019826289642953604,0.0018474426512418152,0.0535057272984053,1.003279744967579,0.4095872407400345
ETTh1_h336_DLinear,2022,all_shared,4,2545,6,0.9758315344719288,0.0004997501249375312,0.0,0.0,120.56160670601743,49.21906983330822,0.008219579661826126,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,1.0155090253504897,0.4145798235499611
ETTh1_h336_DLinear,2022,shared_k3,4,2545,6,0.4950937483596361,0.0004997501249375312,0.0,6.225178412477881e-138,61.16762541870843,24.971578508921652,0.00808794714994509,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9992461494682149,0.4079405322729964
ETTh1_h336_DLinear,2022,shared_k2,4,2545,6,0.17653749038088204,0.0004997501249375312,9.166912588369313e-106,2.6883253452347113e-19,21.810776483755344,8.904212213182543,0.007864751959175532,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.000499750124937531,0.9716709278672901,0.3966829951952567
ETTh1_h336_DLinear,2022,two_pairs,4,2545,6,0.3390379142141793,0.0004997501249375312,0.0,7.366715084529723e-66,41.88730762225043,17.100421728917677,0.007956578528235437,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9830158765731691,0.401314551109832
ETTh1_h336_DLinear,2023,intact,4,2545,6,0.9759556961294334,0.0004997501249375312,0.0,0.0,120.57694657605775,49.22533230902811,0.008044809887200802,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9939166458380978,0.40576477152698015
ETTh1_h336_DLinear,2023,independent,4,2545,6,-0.002318395022068828,0.6131934032983508,0.6127263856830908,0.5465443755273693,-0.28643205201511257,-0.116935395569226,0.008186283800212489,0.0080940488529772,0.019826289642953604,0.0004670176152600236,0.06664902777098147,1.0113954028336958,0.4129004441898663
ETTh1_h336_DLinear,2023,all_shared,4,2545,6,0.9759556961294334,0.0004997501249375312,0.0,0.0,120.57694657605775,49.22533230902811,0.00790879109373074,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9771118555606052,0.39890424462459
ETTh1_h336_DLinear,2023,shared_k3,4,2545,6,0.4899232121323794,0.0004997501249375312,0.0,4.0946913110229596e-135,60.52881827519152,24.71078658464477,0.007887087566067175,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,0.9744304376376602,0.3978095603415286
ETTh1_h336_DLinear,2023,shared_k2,4,2545,6,0.17253130489478027,0.0004997501249375312,4.0486473071788755e-101,1.628303791273339e-18,21.315822035262215,8.70214790572774,0.008230692184288594,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375296,1.0168819504049735,0.4151403178563891
ETTh1_h336_DLinear,2023,two_pairs,4,2545,6,0.32829548629210836,0.0004997501249375312,0.0,6.939954514316717e-62,40.56010684582819,16.558594280840985,0.008307924659535625,0.0080940488529772,0.019826289642953604,0.0004997501249375312,0.0004997501249375312,1.02642383440517,0.41903577568727374
ETTh1_h96_DLinear,2021,intact,4,2785,6,0.9877880230461855,0.0004997501249375312,0.0,0.0,127.66563116681482,52.11927567484223,0.00799927771375871,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,1.03385829183909,0.4220708802251981
ETTh1_h96_DLinear,2021,independent,4,2785,6,-0.0033423217802751952,0.6616691654172914,0.6671201672997603,0.5699916903639023,-0.4319748870061709,-0.1763530091435897,0.007715852554718964,0.007737305757377162,0.018952451089472584,0.005451001882468942,0.09167747505338908,0.997227303233074,0.40711634174879086
ETTh1_h96_DLinear,2021,all_shared,4,2785,6,0.9877880230461855,0.0004997501249375312,0.0,0.0,127.66563116681482,52.11927567484223,0.007783873460840176,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,1.0060185941881143,0.4107053712521565
ETTh1_h96_DLinear,2021,shared_k3,4,2785,6,0.49896130448008846,0.0004997501249375312,0.0,4.706338255111097e-153,64.4877325681943,26.32700657685611,0.007808642672499579,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,1.0092198650744026,0.41201228461879547
ETTh1_h96_DLinear,2021,shared_k2,4,2785,6,0.15615678911991018,0.0004997501249375312,7.000738109185911e-91,8.653958766942558e-17,20.182321083927945,8.239398080106364,0.007651838419226572,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249374447,0.9889538631623676,0.4037387239836697
ETTh1_h96_DLinear,2021,two_pairs,4,2785,6,0.320290014853533,0.0004997501249375312,0.0,2.2624697088472448e-64,41.39554838557999,16.89966186122716,0.007709693434912192,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,0.9964312742276416,0.4067913642681634
ETTh1_h96_DLinear,2022,intact,4,2785,6,0.98811209604564,0.0004997501249375312,0.0,0.0,127.70751564309333,52.1363749406799,0.007589456363526347,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,0.9808913595394821,0.40044722066276806
ETTh1_h96_DLinear,2022,independent,4,2785,6,-0.0022650293088256447,0.6221889055472264,0.6151400683152751,0.5475647982889612,-0.29274134690438525,-0.11951115442180396,0.00788334713651883,0.007737305757377162,0.018952451089472584,0.007048837231951266,0.07462410725826518,1.0188749654881384,0.41595396285695996
ETTh1_h96_DLinear,2022,all_shared,4,2785,6,0.98811209604564,0.0004997501249375312,0.0,0.0,127.70751564309333,52.1363749406799,0.007633886685170049,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,0.9866337100471301,0.40279152544075963
ETTh1_h96_DLinear,2022,shared_k3,4,2785,6,0.49224195585548913,0.0004997501249375312,0.0,5.068997369398291e-149,63.61929737443286,25.972469393624348,0.007799460701117501,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,1.0080331507748777,0.4115278105347453
ETTh1_h96_DLinear,2022,shared_k2,4,2785,6,0.18368665560440697,0.0004997501249375312,6.904663358923748e-125,1.630820165315202e-22,23.740389919226118,9.691973599469591,0.007808710151402185,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,1.0092285863146797,0.41201584505022926
ETTh1_h96_DLinear,2022,two_pairs,4,2785,6,0.32979247165405196,0.0004997501249375312,0.0,4.050507779571442e-68,42.62368348822329,17.401045917339946,0.007734730640736002,0.007737305757377162,0.018952451089472584,0.0004997501249375312,0.0004997501249375312,0.9996671817397542,0.40811241797808256
