block_id,seed,val_order,condition,n_arms,n,modal_arm,modal_share,best_fixed_share,modal_is_best_fixed,entropy_bits
ETTh1_h192_DLinear,2021,deterministic,index,4,2689,1,0.5381182595760505,0.5381182595760505,True,1.7271592050987432
ETTh1_h192_DLinear,2021,deterministic,defect,4,2689,1,0.26887318705838603,0.26887318705838603,True,1.9974513877175728
ETTh1_h336_DLinear,2021,deterministic,index,4,2545,1,0.6781925343811395,0.6781925343811395,True,1.3944430270561534
ETTh1_h336_DLinear,2021,deterministic,defect,4,2545,1,0.2829076620825147,0.2829076620825147,True,1.993419595466676
ETTh1_h336_DLinear,2021,shuffled,index,4,2545,1,0.6726915520628683,0.6726915520628683,True,1.414138325590171
ETTh1_h336_DLinear,2021,shuffled,defect,4,2545,1,0.2923379174852652,0.2923379174852652,True,1.9891571314528664
ETTh1_h336_DLinear,2022,deterministic,index,4,2545,1,0.6738703339882122,0.6738703339882122,True,1.4109742668394964
ETTh1_h336_DLinear,2022,deterministic,defect,4,2545,1,0.2950884086444008,0.2950884086444008,True,1.9885144483252832
ETTh1_h336_DLinear,2022,shuffled,index,4,2545,1,0.674656188605108,0.674656188605108,True,1.4054141610448385
ETTh1_h336_DLinear,2022,shuffled,defect,4,2545,1,0.2915520628683694,0.2915520628683694,True,1.9889933921645861
ETTh1_h336_DLinear,2023,deterministic,index,4,2545,1,0.6789783889980353,0.6789783889980353,True,1.4059081341746629
ETTh1_h336_DLinear,2023,deterministic,defect,4,2545,1,0.28958742632612966,0.28958742632612966,True,1.9910843151701878
ETTh1_h336_DLinear,2023,shuffled,index,4,2545,1,0.6719056974459725,0.6719056974459725,True,1.4112224727502474
ETTh1_h336_DLinear,2023,shuffled,defect,4,2545,1,0.2958742632612967,0.2958742632612967,True,1.988605799530527
ETTh1_h336_PatchTST,2021,deterministic,index,3,2545,1,0.468762278978389,0.468762278978389,True,1.3431066078987834
ETTh1_h336_PatchTST,2021,deterministic,defect,3,2545,1,0.36463654223968567,0.36463654223968567,True,1.5783388576145265
ETTh1_h336_iTransformer,2021,deterministic,index,3,2545,0,0.39646365422396856,0.39646365422396856,True,1.5607961313114127
ETTh1_h336_iTransformer,2021,deterministic,defect,3,2545,0,0.34341846758349703,0.34341846758349703,True,1.584625659939119
ETTh1_h720_DLinear,2021,deterministic,index,4,2161,1,0.8093475242943082,0.8093475242943082,True,0.9934179217369956
ETTh1_h720_DLinear,2021,deterministic,defect,4,2161,1,0.3294770939379917,0.3294770939379917,True,1.9598614974308364
ETTh1_h96_DLinear,2021,deterministic,index,4,2785,1,0.42908438061041293,0.42908438061041293,True,1.886901358402139
ETTh1_h96_DLinear,2021,deterministic,defect,4,2785,1,0.25888689407540394,0.25888689407540394,True,1.9987390069937465
ETTh1_h96_DLinear,2021,shuffled,index,4,2785,1,0.4197486535008977,0.4197486535008977,True,1.8965324565599588
ETTh1_h96_DLinear,2021,shuffled,defect,4,2785,0,0.25601436265709154,0.2535008976660682,False,1.9996926315882853
ETTh1_h96_DLinear,2022,deterministic,index,4,2785,1,0.43087971274685816,0.43087971274685816,True,1.8847927475734254
ETTh1_h96_DLinear,2022,deterministic,defect,4,2785,1,0.25601436265709154,0.25601436265709154,True,1.9997706068948458
ETTh1_h96_DLinear,2022,shuffled,index,4,2785,1,0.4319569120287253,0.4319569120287253,True,1.8836096210886297
ETTh1_h96_DLinear,2022,shuffled,defect,4,2785,1,0.2581687612208258,0.2581687612208258,True,1.9993694202413534
ETTh1_h96_DLinear,2023,deterministic,index,4,2785,1,0.43159784560143627,0.43159784560143627,True,1.8813476700338199
ETTh1_h96_DLinear,2023,deterministic,defect,4,2785,1,0.25888689407540394,0.25888689407540394,True,1.9992220209243499
ETTh1_h96_DLinear,2023,shuffled,index,4,2785,1,0.4326750448833034,0.4326750448833034,True,1.8800820634834656
ETTh1_h96_DLinear,2023,shuffled,defect,4,2785,1,0.25960502692998205,0.25960502692998205,True,1.9993152024324483
ETTh1_h96_PatchTST,2021,deterministic,index,3,2785,1,0.5059245960502693,0.5059245960502693,True,1.4024295876748525
ETTh1_h96_PatchTST,2021,deterministic,defect,3,2785,1,0.3540394973070018,0.3540394973070018,True,1.5819962929124372
ETTh1_h96_iTransformer,2021,deterministic,index,3,2785,2,0.3813285457809695,0.29838420107719926,False,1.5770869053085148
ETTh1_h96_iTransformer,2021,deterministic,defect,3,2785,0,0.348294434470377,0.348294434470377,True,1.5837100661032615
ETTh2_h192_DLinear,2021,deterministic,index,4,2689,2,0.35291930085533657,0.35291930085533657,True,1.8464686868774614
ETTh2_h192_DLinear,2021,deterministic,defect,4,2689,2,0.33432502789140944,0.33432502789140944,True,1.8813248901191997
ETTh2_h336_DLinear,2021,deterministic,index,4,2545,3,0.3618860510805501,0.34852652259332023,False,1.8532071353005988
ETTh2_h336_DLinear,2021,deterministic,defect,4,2545,2,0.3587426326129666,0.3587426326129666,True,1.8543818675039807
ETTh2_h336_DLinear,2021,shuffled,index,4,2545,3,0.3607072691552063,0.3481335952848723,False,1.856822194723275
ETTh2_h336_DLinear,2021,shuffled,defect,4,2545,2,0.36660117878192533,0.36660117878192533,True,1.8498670695590476
ETTh2_h336_DLinear,2022,deterministic,index,4,2545,3,0.3650294695481336,0.34341846758349703,False,1.8282268754276907
ETTh2_h336_DLinear,2022,deterministic,defect,4,2545,3,0.36463654223968567,0.35520628683693517,False,1.8454408678392533
ETTh2_h336_DLinear,2022,shuffled,index,4,2545,3,0.3650294695481336,0.3426326129666012,False,1.8141535271860532
ETTh2_h336_DLinear,2022,shuffled,defect,4,2545,3,0.35481335952848725,0.35442043222003927,False,1.857729803137349
ETTh2_h336_DLinear,2023,deterministic,index,4,2545,3,0.3607072691552063,0.3461689587426326,False,1.8415278794825034
ETTh2_h336_DLinear,2023,deterministic,defect,4,2545,3,0.3614931237721022,0.3524557956777996,False,1.8548950961767914
ETTh2_h336_DLinear,2023,shuffled,index,4,2545,3,0.3650294695481336,0.3418467583497053,False,1.840286060410803
ETTh2_h336_DLinear,2023,shuffled,defect,4,2545,3,0.35795677799607073,0.356385068762279,False,1.8498459275849486
ETTh2_h336_PatchTST,2021,deterministic,index,3,2545,1,0.36777996070726915,0.36777996070726915,True,1.5792287469567463
ETTh2_h336_PatchTST,2021,deterministic,defect,3,2545,1,0.3387033398821218,0.3387033398821218,True,1.584662823009535
ETTh2_h336_iTransformer,2021,deterministic,index,3,2545,0,0.431434184675835,0.431434184675835,True,1.5382570767293389
ETTh2_h336_iTransformer,2021,deterministic,defect,3,2545,0,0.35717092337917483,0.35717092337917483,True,1.5826702857550583
ETTh2_h720_DLinear,2021,deterministic,index,4,2161,3,0.3794539565016196,0.30633965756594167,False,1.7640369245755574
ETTh2_h720_DLinear,2021,deterministic,defect,4,2161,3,0.28690421101341973,0.2836649699213327,False,1.9840948687526194
ETTh2_h96_DLinear,2021,deterministic,index,4,2785,2,0.35942549371633753,0.35942549371633753,True,1.941736229109379
ETTh2_h96_DLinear,2021,deterministic,defect,4,2785,2,0.30915619389587073,0.30915619389587073,True,1.95159761283538
ETTh2_h96_DLinear,2021,shuffled,index,4,2785,2,0.3734290843806104,0.3734290843806104,True,1.9287944178910275
ETTh2_h96_DLinear,2021,shuffled,defect,4,2785,2,0.31597845601436264,0.31597845601436264,True,1.9520764162235746
ETTh2_h96_DLinear,2022,deterministic,index,4,2785,2,0.3694793536804309,0.3694793536804309,True,1.9322532009149174
ETTh2_h96_DLinear,2022,deterministic,defect,4,2785,2,0.31885098743267504,0.31885098743267504,True,1.9471689279373683
ETTh2_h96_DLinear,2022,shuffled,index,4,2785,2,0.36481149012567327,0.36481149012567327,True,1.9365704453530357
ETTh2_h96_DLinear,2022,shuffled,defect,4,2785,2,0.30987432675044885,0.30987432675044885,True,1.9496654711601926
ETTh2_h96_DLinear,2023,deterministic,index,4,2785,2,0.3694793536804309,0.3694793536804309,True,1.9282419226157672
ETTh2_h96_DLinear,2023,deterministic,defect,4,2785,2,0.31095152603231596,0.31095152603231596,True,1.9517406595952438
ETTh2_h96_DLinear,2023,shuffled,index,4,2785,2,0.37953321364452425,0.37953321364452425,True,1.9194435554434592
ETTh2_h96_DLinear,2023,shuffled,defect,4,2785,2,0.3087971274685817,0.3087971274685817,True,1.9625211582591864
ETTh2_h96_PatchTST,2021,deterministic,index,3,2785,0,0.3454219030520646,0.340394973070018,False,1.583733586223064
ETTh2_h96_PatchTST,2021,deterministic,defect,3,2785,1,0.3432675044883303,0.3432675044883303,True,1.5845246078918775
ETTh2_h96_iTransformer,2021,deterministic,index,3,2785,0,0.4621184919210054,0.4621184919210054,True,1.5318653324357565
ETTh2_h96_iTransformer,2021,deterministic,defect,3,2785,0,0.38061041292639136,0.38061041292639136,True,1.5777521192633897
ETTm1_h192_DLinear,2021,deterministic,index,4,11329,1,0.3673757613205049,0.3673757613205049,True,1.933560952722974
ETTm1_h192_DLinear,2021,deterministic,defect,4,11329,2,0.26365963456615765,0.2594227204519375,False,1.9947746850994597
ETTm1_h336_DLinear,2021,deterministic,index,4,11185,1,0.43951721054984355,0.43951721054984355,True,1.8641262565573395
ETTm1_h336_DLinear,2021,deterministic,defect,4,11185,1,0.2681269557443004,0.2681269557443004,True,1.994291279295982
ETTm1_h336_DLinear,2021,shuffled,index,4,11185,1,0.4228877961555655,0.4228877961555655,True,1.8809163793971897
ETTm1_h336_DLinear,2021,shuffled,defect,4,11185,1,0.26437192668752796,0.26437192668752796,True,1.9952648907940955
ETTm1_h336_DLinear,2022,deterministic,index,4,11185,1,0.4406794814483683,0.4406794814483683,True,1.8633119555647784
ETTm1_h336_DLinear,2022,deterministic,defect,4,11185,1,0.26803755029056775,0.26803755029056775,True,1.9945912632475413
ETTm1_h336_DLinear,2022,shuffled,index,4,11185,1,0.446043808672329,0.446043808672329,True,1.8567344452325993
ETTm1_h336_DLinear,2022,shuffled,defect,4,11185,1,0.2641037103263299,0.2641037103263299,True,1.9947279467699686
ETTm1_h336_DLinear,2023,deterministic,index,4,11185,1,0.4569512740277157,0.4569512740277157,True,1.8428357269188314
ETTm1_h336_DLinear,2023,deterministic,defect,4,11185,1,0.26392489941886454,0.26392489941886454,True,1.9947812584145486
