dataset,backbone,plugin,pred_len,seed,mse_deterministic,mse_shuffled,abs_rel_diff_pct,rel_diff_pct,val_mse_deterministic,val_mse_shuffled,best_epoch_deterministic,best_epoch_shuffled,same_best_epoch
ETTh1,DLinear,fredf,336,2021,0.4855605890056784,0.48554701693653274,0.0027951340065394356,-0.0027951340065394356,1.1674402964694597,1.1677137836961897,9,9,1
ETTh1,DLinear,none,336,2021,0.48671358220504557,0.4885750527494888,0.3824570779409713,0.3824570779409713,1.126107688200142,1.1239531674961243,8,3,0
ETTh1,DLinear,none,336,2022,0.48789004518110657,0.48723626723912183,0.13400108250662293,-0.13400108250662293,1.1238245400421036,1.1256444675580202,4,5,0
ETTh1,DLinear,none,336,2023,0.489417322406922,0.486985483005518,0.49688461974421577,-0.49688461974421577,1.119438845564856,1.1258966891029496,3,6,0
ETTh1,DLinear,revin,336,2021,0.4887380601683515,0.48878302468304363,0.009200125457114985,0.009200125457114985,1.293736407048238,1.2937224166741843,9,9,1
ETTh1,DLinear,revin,336,2022,0.4889152057710363,0.4889695524536865,0.011115768544054674,0.011115768544054674,1.2939052677991936,1.293863686920925,9,9,1
ETTh1,DLinear,revin,336,2023,0.48899599180367753,0.48894692352859,0.010034494333288782,-0.010034494333288782,1.293783942735063,1.2938868072400866,9,9,1
ETTh1,DLinear,fredf,96,2021,0.3909459033766149,0.3908745384036939,0.01825443681711515,-0.01825443681711515,0.7007971963770748,0.7008274024884457,9,9,1
ETTh1,DLinear,fredf,96,2022,0.39075172612165054,0.39084263363179667,0.023264775065336307,0.023264775065336307,0.7007682127657839,0.7003417343810816,9,9,1
ETTh1,DLinear,fredf,96,2023,0.39073647212664203,0.39068028925422565,0.014378712105013734,-0.014378712105013734,0.7007248856220896,0.7003965040919332,9,9,1
ETTh1,DLinear,none,96,2021,0.395842024627135,0.39676232247859317,0.23249119451756514,0.23249119451756514,0.675386422506161,0.6754681214701673,9,4,0
ETTh1,DLinear,none,96,2022,0.3956882504527361,0.3959027716183424,0.05421469183400822,0.05421469183400822,0.6757135112560579,0.6753081108592887,9,9,1
ETTh1,DLinear,none,96,2023,0.3955066379567665,0.39550030732690916,0.0016006380803206153,-0.0016006380803206153,0.6757795729779419,0.6756348779428369,9,8,0
ETTh1,DLinear,revin,96,2021,0.398654637381981,0.39856597130406846,0.02224132609990616,-0.02224132609990616,0.711840757631059,0.7119945329795121,9,9,1
ETTh1,DLinear,revin,96,2022,0.39849814051102805,0.39866132511994345,0.04094990473635222,0.04094990473635222,0.7123927590010706,0.7124591108936729,9,9,1
ETTh1,DLinear,revin,96,2023,0.3981951250544448,0.3981259215965509,0.017379283054870402,-0.017379283054870402,0.7118413823093421,0.7120356062737205,9,9,1
ETTh1,DLinear,san_lite,96,2021,0.41089101716209764,0.41085198545818746,0.00949928381977184,-0.00949928381977184,0.7447308711152796,0.7447644021640102,9,9,1
ETTh1,DLinear,san_lite,96,2022,0.4109974280232862,0.41114513813516795,0.03593942487479028,0.03593942487479028,0.7449540653442372,0.7450256588989581,9,9,1
ETTh1,DLinear,san_lite,96,2023,0.4103692986816996,0.4103544625928588,0.0036153018484683607,-0.0036153018484683607,0.7444354571042188,0.7444238230765676,9,9,1
