cell_id,split,n,p_normal,p_perm
DLinear_ETTm1_h336_fredf_s2022_shuf,test,11185,0.5779992867651602,0.5722138930534733
DLinear_ETTh1_h96_fredf_s2023_shuf,test,2785,0.6905367654817657,0.6856571714142928
DLinear_ETTh2_h720_none_s2021_det,val,2161,0.1223954079669417,0.13893053473263367
DLinear_ETTm2_h336_san_lite_s2022_shuf,val,11185,0.35162839574576904,0.3403298350824588
DLinear_ETTm1_h96_san_lite_s2023_det,test,11425,0.9693971312316276,0.9675162418790605
PatchTST_ETTm1_h96_none_s2021_det,test,11425,0.3065023504248775,0.30684657671164417
DLinear_ETTh2_h336_san_lite_s2021_det,val,2545,0.9194217421922729,0.9250374812593704
DLinear_ETTh2_h96_revin_s2023_shuf,test,2785,0.27054172145991506,0.2773613193403298
DLinear_ETTm1_h336_san_lite_s2022_det,val,11185,0.6233600449187249,0.6366816591704147
DLinear_ETTh1_h336_san_lite_s2022_shuf,val,2545,0.08971177472160091,0.08895552223888056
DLinear_ETTm2_h192_fredf_s2021_det,test,11329,0.9921447902139898,0.992503748125937
DLinear_Weather_h192_san_lite_s2021_det,val,5079,0.3518244632981389,0.34182908545727136
iTransformer_ETTh2_h336_none_s2021_det,val,2545,0.00555267403081059,0.0069965017491254375
iTransformer_Weather_h336_fredf_s2021_det,test,10204,0.07057302765223074,0.07096451774112944
DLinear_Weather_h336_revin_s2021_det,val,4935,0.8559621308008891,0.8755622188905547
DLinear_ETTm2_h96_fredf_s2021_shuf,val,11425,0.7218018065971841,0.7171414292853573
DLinear_ETTh1_h336_fredf_s2021_shuf,val,2545,0.5382744791320766,0.5487256371814093
DLinear_ETTh1_h96_fredf_s2022_det,val,2785,0.5811442321033291,0.5667166416791605
DLinear_ILI_h24_revin_s2021_det,val,74,0.9481593822084465,0.9535232383808095
iTransformer_Weather_h336_san_lite_s2021_det,test,10204,0.2668547159982893,0.2748625687156422
PatchTST_Weather_h336_san_lite_s2021_det,val,4935,0.519091922716759,0.5162418790604698
DLinear_ETTm2_h336_san_lite_s2023_shuf,val,11185,0.689842236299155,0.6746626686656672
DLinear_ETTh2_h336_fredf_s2021_shuf,val,2545,0.6968229317962256,0.6901549225387307
DLinear_ETTm2_h96_revin_s2023_shuf,val,11425,0.6086508825127077,0.617191404297851
DLinear_Exchange_h96_san_lite_s2021_det,val,665,0.9486767994594443,0.9485257371314343
DLinear_ETTm1_h96_none_s2023_shuf,val,11425,0.43585419822598787,0.42778610694652675
iTransformer_ETTm1_h96_none_s2021_det,test,11425,0.7537052131290606,0.7501249375312344
DLinear_ETTm1_h336_none_s2022_det,test,11185,0.0586883401068242,0.06196901549225387
DLinear_ETTm1_h96_san_lite_s2022_shuf,val,11425,0.7629368999885928,0.7596201899050474
DLinear_Exchange_h720_none_s2021_det,test,798,0.6693298811003098,0.6611694152923538
iTransformer_ETTh2_h96_fredf_s2021_det,val,2785,0.8432766417396964,0.8435782108945528
DLinear_ETTm1_h192_san_lite_s2021_det,test,11329,0.24556911908135393,0.25987006496751625
DLinear_ETTh2_h192_fredf_s2021_det,test,2689,0.5475231269433763,0.5427286356821589
PatchTST_ETTh1_h336_none_s2021_det,test,2545,0.2480271892227311,0.2413793103448276
iTransformer_ETTh1_h96_none_s2021_det,val,2785,0.4643878210348658,0.45327336331834084
DLinear_ETTm2_h96_revin_s2023_det,val,11425,0.7766716318411331,0.7701149425287356
DLinear_Weather_h96_revin_s2021_det,test,10444,0.16708373871391036,0.16241879060469766
DLinear_ETTh1_h336_san_lite_s2022_det,test,2545,0.3330429260526239,0.35082458770614694
