block_id,seed,val_order,n_arms,arms,n,variant,rho_bar,p,z_analytic,p_analytic,null_mean,null_sd
ETTh1_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:fredf~revin,0.9444063585643184,0.0,,,,
ETTh1_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:fredf~san_lite,0.9433949182969533,0.0,,,,
ETTh1_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:none~revin,0.9480552787030465,0.0,,,,
ETTh1_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:none~san_lite,0.9417538996478781,0.0,,,,
ETTh1_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:revin~san_lite,0.9882840374984274,0.0,,,,
ETTh1_h96_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2785.0,index_order,0.9879336362040618,0.0004997501249375312,52.12695875272956,0.0,6.745178745623537e-05,0.007776619239060193
ETTh1_h96_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2785.0,full_permutation,0.00029695685862399804,0.4912543728135932,0.01566851998309322,0.4937494206639706,-3.0201140870161064e-05,0.00788032972517981
ETTh1_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~none,0.9956217102484056,0.0,,,,
ETTh1_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~revin,0.9853694213521462,0.0,,,,
ETTh1_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~san_lite,0.9878709008334648,0.0,,,,
ETTh1_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~revin,0.9903708020606432,0.0,,,,
ETTh1_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~san_lite,0.982968322389512,0.0,,,,
ETTh1_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:revin~san_lite,0.9854006603401989,0.0,,,,
ETTh1_h96_DLinear,2021,shuffled,4.0,fredf|none|revin|san_lite,2785.0,index_order,0.9877880230461855,0.0004997501249375312,52.11927567484223,0.0,6.811626708690294e-05,0.007775748846857884
ETTh1_h96_DLinear,2021,shuffled,4.0,fredf|none|revin|san_lite,2785.0,full_permutation,-0.012905940420836424,0.9565217391304348,-0.680964185577306,0.7520529237670998,-0.00011187449310534979,0.0076581521350030796
ETTh1_h96_DLinear,2021,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~none,0.9957686603735997,0.0,,,,
ETTh1_h96_DLinear,2021,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~revin,0.9853976272959177,0.0,,,,
ETTh1_h96_DLinear,2021,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~san_lite,0.9878592857201548,0.0,,,,
ETTh1_h96_DLinear,2021,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:none~revin,0.9896505925032765,0.0,,,,
ETTh1_h96_DLinear,2021,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:none~san_lite,0.9825663313081099,0.0,,,,
ETTh1_h96_DLinear,2021,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:revin~san_lite,0.9854856410760544,0.0,,,,
ETTh1_h96_DLinear,2022,deterministic,4.0,fredf|none|revin|san_lite,2785.0,index_order,0.9882238969157996,0.0004997501249375312,52.14227395973722,0.0,6.369377229596211e-05,0.00777565097775627
ETTh1_h96_DLinear,2022,deterministic,4.0,fredf|none|revin|san_lite,2785.0,full_permutation,-0.0017722557019522382,0.6006996501749126,-0.09351063319385974,0.5372510486785745,0.00017928194230741918,0.007927826922916315
ETTh1_h96_DLinear,2022,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~none,0.995779861478223,0.0,,,,
ETTh1_h96_DLinear,2022,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~revin,0.9859394328871702,0.0,,,,
ETTh1_h96_DLinear,2022,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~san_lite,0.9880877378680765,0.0,,,,
ETTh1_h96_DLinear,2022,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~revin,0.9905958064635606,0.0,,,,
ETTh1_h96_DLinear,2022,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~san_lite,0.9832305513124516,0.0,,,,
ETTh1_h96_DLinear,2022,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:revin~san_lite,0.9857099914853161,0.0,,,,
ETTh1_h96_DLinear,2022,shuffled,4.0,fredf|none|revin|san_lite,2785.0,index_order,0.98811209604564,0.0004997501249375312,52.1363749406799,0.0,6.374748758903017e-05,0.0077749052571563435
ETTh1_h96_DLinear,2022,shuffled,4.0,fredf|none|revin|san_lite,2785.0,full_permutation,0.005991194838119752,0.21189405297351324,0.3161171507493112,0.3759567946621417,-4.894796570540969e-05,0.007586715710117751
ETTh1_h96_DLinear,2022,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~none,0.9957624154103557,0.0,,,,
ETTh1_h96_DLinear,2022,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~revin,0.9858212792344775,0.0,,,,
ETTh1_h96_DLinear,2022,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~san_lite,0.9879414767365672,0.0,,,,
ETTh1_h96_DLinear,2022,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:none~revin,0.9904442517084364,0.0,,,,
ETTh1_h96_DLinear,2022,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:none~san_lite,0.9830235357301403,0.0,,,,
ETTh1_h96_DLinear,2022,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:revin~san_lite,0.985679617453862,0.0,,,,
ETTh1_h96_DLinear,2023,deterministic,4.0,fredf|none|revin|san_lite,2785.0,index_order,0.9881209615470845,0.0004997501249375312,52.13684271666322,0.0,6.25448616178535e-05,0.007777414460654171
ETTh1_h96_DLinear,2023,deterministic,4.0,fredf|none|revin|san_lite,2785.0,full_permutation,0.0056824951893695965,0.2318840579710145,0.29982903860525045,0.3821537820756989,-0.00029787147827757906,0.007860334830205847
ETTh1_h96_DLinear,2023,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~none,0.9958312802882024,0.0,,,,
ETTh1_h96_DLinear,2023,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~revin,0.9856855788174244,0.0,,,,
ETTh1_h96_DLinear,2023,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~san_lite,0.9880705878952883,0.0,,,,
ETTh1_h96_DLinear,2023,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~revin,0.9904123119195519,0.0,,,,
ETTh1_h96_DLinear,2023,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~san_lite,0.9832325337129796,0.0,,,,
ETTh1_h96_DLinear,2023,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:revin~san_lite,0.9854934766490606,0.0,,,,
ETTh1_h96_DLinear,2023,shuffled,4.0,fredf|none|revin|san_lite,2785.0,index_order,0.9880535156517406,0.0004997501249375312,52.1332840268122,0.0,6.369461709380598e-05,0.007776826620735682
ETTh1_h96_DLinear,2023,shuffled,4.0,fredf|none|revin|san_lite,2785.0,full_permutation,0.004154945958489461,0.29035482258870565,0.21923000560056247,0.4132354414331633,-3.2973183904831296e-05,0.007992330892464743
ETTh1_h96_DLinear,2023,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~none,0.9958596638639777,0.0,,,,
ETTh1_h96_DLinear,2023,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~revin,0.9856437598086746,0.0,,,,
ETTh1_h96_DLinear,2023,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~san_lite,0.9880146258438854,0.0,,,,
ETTh1_h96_DLinear,2023,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:none~revin,0.990198287383713,0.0,,,,
ETTh1_h96_DLinear,2023,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:none~san_lite,0.9830992274876519,0.0,,,,
ETTh1_h96_DLinear,2023,shuffled,2.0,fredf|none|revin|san_lite,2785.0,pair:revin~san_lite,0.9855055295225409,0.0,,,,
ETTh2_h192_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2689.0,index_order,0.8277983963737882,0.0004997501249375312,42.917974059650966,0.0,6.455878131803245e-05,0.007911374274383728
ETTh2_h192_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2689.0,full_permutation,-0.004176829804161061,0.7141429285357321,-0.21655160721719616,0.5857210987089727,0.0003099684645060986,0.007806366425997734
