cell_id,block_id,dataset,backbone,plugin,pred_len,seed,val_order,perm_source,condition,assoc_rho_best,assoc_rho_best_feature,assoc_rho_fstd,assoc_abs_rho_mean,assoc_z_fstd,assoc_p_fstd,decile_ratio_fstd,n,rho_f_std,rho_f_range,rho_f_absdiff,rho_f_slope,rho_f_acf1,rho_f_drift,rho_f_spec_ent,rho_f_cross_corr,rho_f_last_dev,rho_f_kurtosis,spearman_test,r2_test,spearman_holdout,n_val,n_test
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,fredf,192,2021,deterministic,simulated,index,0.3011436008644016,f_absdiff,0.2965901221356377,0.1562500118954034,15.376989402161481,2.335578143312843e-53,1.3577554877220026,2689,0.2965901221356377,0.21242807663828783,0.3011436008644016,0.07974966781128916,0.016895404573065417,-0.13165893390629632,-0.24564285724160528,-0.08940686836696463,0.08521216751751347,-0.10377241989897276,0.046408228825026335,-2.3597870147243034,-0.0224900665579532,2689,2689
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,fredf,192,2021,deterministic,simulated,defect,-0.025351268701167815,f_absdiff,-0.01874276176203794,0.01291776798071577,-0.9717358316144152,0.33118198609778793,0.9228312705746976,2689,-0.01874276176203794,-0.01233793585217264,-0.025351268701167815,0.02121962408759196,0.006036085010883031,0.009583162293342381,0.010085421823376328,0.019839743016877832,-0.004063391757335554,0.0019182855023722261,0.12213989846986227,-3.0421256926461178,0.011473702710157525,2689,2689
DLinear_ETTh1_h192_fredf_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,fredf,192,2021,deterministic,simulated,control,0.01879991841429462,f_slope,0.0002100199925464911,0.007324571612310697,0.010888680905402882,0.9913122612930084,0.9896312260430422,2689,0.0002100199925464911,0.0045110054195798745,0.005232977575089559,0.01879991841429462,0.0012937140692583838,0.01719605621691567,0.0037115459967804157,-0.009151600870129025,0.008770788579857712,-0.004368088988655222,-7.04799361050954e-05,-3.105961058915738,-0.0007339627800554614,2689,2689
DLinear_ETTh1_h192_none_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,none,192,2021,deterministic,simulated,index,0.31249118739474857,f_absdiff,0.2746246164305732,0.15501825016866969,14.238167427890108,5.310136210924639e-46,1.219802750916236,2689,0.2746246164305732,0.18763413186487782,0.31249118739474857,0.1001570197262717,-0.006623138635793458,-0.15048913376660122,-0.23869615866789987,-0.09929518770292975,0.07083530439809166,-0.10933662309890975,0.06991926521530263,-2.2721532974605485,0.016543058406117313,2689,2689
DLinear_ETTh1_h192_none_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,none,192,2021,deterministic,simulated,defect,0.029312370051983047,f_cross_corr,-0.003001097326719172,0.011815974408261685,-0.15559466868121574,0.8763525275365575,0.9581035531633385,2689,-0.003001097326719172,0.004901625660406001,0.02208088399222708,0.001293748014127844,-0.008925560846321463,-0.01206632197418977,0.009238190329855754,0.029312370051983047,-0.01275595700762466,0.014583988879162058,-0.03219814185003971,-2.7121615518927578,-0.005911201109283638,2689,2689
DLinear_ETTh1_h192_none_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,none,192,2021,deterministic,simulated,control,0.02211427567254424,f_slope,0.0015493810025207346,0.00817945148128035,0.08032909216300876,0.9359755207714339,0.9983970903837184,2689,0.0015493810025207346,0.004945086678525292,0.00641264249207297,0.02211427567254424,0.00017102960185220228,0.01881657259798638,0.0031841880869441044,-0.007114205373904458,0.011688016343434002,-0.005799116963019133,0.03754251490486246,-2.612625573014523,0.004163084780311232,2689,2689
DLinear_ETTh1_h192_revin_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,revin,192,2021,deterministic,simulated,index,0.27412250868341687,f_std,0.27412250868341687,0.14357684196983325,14.212135186994255,7.704021089483299e-46,1.3489450190458399,2689,0.27412250868341687,0.19672167280243044,0.2599074752236003,0.09579914529049427,0.023881724945179976,-0.12098799738692696,-0.2338514145768435,-0.07596034902131715,0.06054722733024357,-0.09398890443787923,0.0746001121678402,-2.3265135888087065,-0.013860625194877789,2689,2689
DLinear_ETTh1_h192_revin_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,revin,192,2021,deterministic,simulated,defect,-0.04748769388454802,f_kurtosis,0.014590762072897055,0.019603977752486297,0.7564715646928782,0.4493665148151845,1.0908354468054042,2689,0.014590762072897055,-0.010035733937043245,-0.010652370019317108,0.010149186577087629,-0.006047165785471266,-0.008140774890404387,-0.04172762656202261,0.011014501014834536,0.03619396278123714,-0.04748769388454802,-0.037412480426721795,-3.051936192041903,-0.02828454689983124,2689,2689
DLinear_ETTh1_h192_revin_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,revin,192,2021,deterministic,simulated,control,0.023287967866173372,f_slope,0.0016837438803314856,0.007040069790839085,0.08729525992767546,0.9304368216688002,0.9990649551963332,2689,0.0016837438803314856,0.003359099814071779,0.004134322539438522,0.023287967866173372,0.002096348131201506,0.013033974960831552,-3.8754320971318204e-05,-0.001406341249444295,0.013959905321280002,-0.007400239824647019,-0.06584576993933877,-3.161805344126961,-0.004839410630310055,2689,2689
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,san_lite,192,2021,deterministic,simulated,index,0.3079238752390445,f_std,0.3079238752390445,0.14712065528971688,15.964598322185122,2.2548865378652027e-57,1.5521346345838876,2689,0.3079238752390445,0.22927286058804858,0.2574060832452664,0.07578692570309162,0.0679139717890416,-0.08779833167996046,-0.23574530065053295,-0.049198418839997815,0.06636738659320332,-0.09379339856898158,0.0644221674881543,-1.9588341258093136,0.014789648034987632,2689,2689
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,san_lite,192,2021,deterministic,simulated,defect,0.016501755643011286,f_last_dev,-0.0016890861541888856,0.007219342723385085,-0.087572235060553,0.9302166705876336,1.0391591989241458,2689,-0.0016890861541888856,-0.009484680475011371,-0.00785803862612121,-0.005617343563705479,0.008735878029864199,-0.0040981794893418175,0.003093408004365457,-0.011068745831594543,0.016501755643011286,-0.004046311416646604,-0.15596322659761003,-3.0298813137652294,0.04871314083355082,2689,2689
DLinear_ETTh1_h192_san_lite_s2021_det,ETTh1_h192_DLinear,ETTh1,DLinear,san_lite,192,2021,deterministic,simulated,control,0.017940353586443223,f_slope,-0.0016995182769952207,0.006199274432100387,-0.08811309812328744,0.9297867860754747,0.9930999959813004,2689,-0.0016995182769952207,0.0007308675130490438,-0.00013751541211446013,0.017940353586443223,0.002600052469819115,0.013160392317434952,0.00255438516254041,-0.004096333516478199,0.012023184777304203,-0.007050141288825048,-0.027093390650534302,-2.8926539835120315,-0.007586582944809236,2689,2689
DLinear_ETTh1_h336_fredf_s2021_det,ETTh1_h336_DLinear,ETTh1,DLinear,fredf,336,2021,deterministic,simulated,index,0.3589074132960073,f_absdiff,0.29066587298629154,0.13823680894680257,14.660628802504968,1.1520113383162395e-48,1.2805285155312403,2545,0.29066587298629154,0.24172520112445622,0.3589074132960073,0.0875264336067211,0.02405126952287337,-0.07601960347226402,-0.19033242942861184,-0.08830311352339897,0.014533841725370622,-0.01030291078203079,0.06540438959274367,-4.909117118139725,0.07284014281284733,2545,2545
DLinear_ETTh1_h336_fredf_s2021_det,ETTh1_h336_DLinear,ETTh1,DLinear,fredf,336,2021,deterministic,simulated,defect,-0.04010735040770586,f_drift,-0.012772146380777652,0.01846082015082138,-0.6442025518030783,0.5194440963955076,0.995779178102684,2545,-0.012772146380777652,-0.010557697426376562,0.011124533481287334,0.03478742118711585,-0.016235654005268774,-0.04010735040770586,-0.01852756629802558,-0.024147772039465453,-0.012487111160737823,0.003860949121452909,-0.32209132672962126,-6.090892656388863,-0.05439088672997365,2545,2545
