stat,draws,margin,single_p_min,single_p_max,single_p_median,single_certify_frac,single_absdiff_max,mean_n,mean_diff,mean_ci95_low,mean_ci95_high,mean_p_tost,mean_equivalent_at_05
assoc_rho_fstd,8,0.03,1.832887983310901e-20,2.773773177374001e-08,4.894845546648844e-13,1.0,0.009653230976754721,356.0,6.972271216021914e-05,-0.002293117127114505,0.0024325625514349434,3.1074582100484264e-80,1.0
spearman_test,8,0.03,0.00019587645969223124,0.021462898742259626,0.012512618512692024,1.0,0.012484544950455263,324.0,0.004024632487643191,-0.002180120758488652,0.010229385733775034,2.2387343255172415e-15,1.0
