cell_id,dataset,backbone,plugin,pred_len,seq_len,seed,val_order,condition,n,assoc_rho_fstd,assoc_rho_ci_lo,assoc_rho_ci_hi,assoc_rho_ci_excludes_zero,assoc_p_block,assoc_p_boot_2sided,assoc_p_iid_naive,block_len,block_len_requested,block_len_cover,block_len_floor,block_len_capped,n_blocks,n_boot,n_perm,assoc_p_fstd,boot_rho_mean
DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1,DLinear,fredf,336,96,2021,shuffled,defect,2545,-0.006314251111643471,-0.034451686939901784,0.022020700177190006,0.0,0.7156421789105447,0.614,0.7501218430069152,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.7501218430069152,-0.006723244809441261
DLinear_ETTh1_h336_fredf_s2021_shuf,ETTh1,DLinear,fredf,336,96,2021,shuffled,control,2545,0.0013942159450890648,-0.017402487982371578,0.02823653131325548,0.0,0.9345327336331835,0.634,0.9439377094032892,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.9439377094032892,0.00569214570021058
DLinear_ETTh1_h336_fredf_s2022_det,ETTh1,DLinear,fredf,336,96,2022,deterministic,index,2545,0.29242985168551605,-0.11606569737646857,0.4361843045540208,0.0,0.19940029985007496,0.17,3.0949128389892973e-49,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,3.0949128389892973e-49,0.21646037637820154
DLinear_ETTh1_h336_fredf_s2022_det,ETTh1,DLinear,fredf,336,96,2022,deterministic,defect,2545,0.04185941425367828,0.006993236076376617,0.06611302654024905,1.0,0.030484757621189407,0.022,0.034745802157115514,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.034745802157115514,0.03894141703912109
DLinear_ETTh1_h336_fredf_s2022_det,ETTh1,DLinear,fredf,336,96,2022,deterministic,control,2545,0.007343991295363441,-0.017763723037786807,0.03221131024236865,0.0,0.7101449275362319,0.51,0.7110719381610207,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.7110719381610207,0.008502876765148876
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,96,2022,shuffled,index,2545,0.2924010709888417,-0.08629264184324952,0.43084468386856456,0.0,0.1934032983508246,0.15,3.1621980944745006e-49,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,3.1621980944745006e-49,0.21538739847468966
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,96,2022,shuffled,defect,2545,-0.00044474183457491825,-0.04050553852956135,0.034614849561408756,0.0,0.9825087456271864,0.925,0.982103414597683,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.982103414597683,0.000566748363240258
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,96,2022,shuffled,control,2545,0.01768065729728571,-0.022862786914693033,0.06045158952363307,0.0,0.3428285857071464,0.408,0.37251170952868984,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.37251170952868984,0.018677019193797776
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,96,2023,deterministic,index,2545,0.2925122353361381,-0.10561608260317816,0.42731065426506554,0.0,0.1984007996001999,0.164,2.9100880558886487e-49,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,2.9100880558886487e-49,0.21417863061275852
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,96,2023,deterministic,defect,2545,-0.013031955358323478,-0.046433374230302756,0.022245841922754264,0.0,0.5257371314342829,0.486,0.5109836534078962,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.5109836534078962,-0.011764869699022027
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,96,2023,deterministic,control,2545,-0.019669898022874274,-0.04220020976292157,0.010429559984469216,0.0,0.29485257371314344,0.207,0.3211429388550908,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.3211429388550908,-0.016786247217407447
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,96,2023,shuffled,index,2545,0.2927281308936147,-0.10550625277431358,0.42810195036676446,0.0,0.20039980009995004,0.148,2.4762218507799976e-49,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,2.4762218507799976e-49,0.21604775961231637
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,96,2023,shuffled,defect,2545,0.030744243277732054,-0.012193081729770494,0.08059451579448476,0.0,0.1359320339830085,0.143,0.12097823914621952,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.12097823914621952,0.032839932561590866
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,96,2023,shuffled,control,2545,0.01582664057517676,-0.015607886023393969,0.04832354563732602,0.0,0.3563218390804598,0.311,0.42471650560599616,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.42471650560599616,0.01636596061348798
DLinear_ETTh1_h336_none_s2021_det,ETTh1,DLinear,none,336,96,2021,deterministic,index,2545,0.26640491823342216,-0.16796933827245972,0.4061125107574556,0.0,0.25537231384307846,0.202,3.6725073345225784e-41,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,3.6725073345225784e-41,0.1923018105057949
DLinear_ETTh1_h336_none_s2021_det,ETTh1,DLinear,none,336,96,2021,deterministic,defect,2545,0.02663584259507553,-0.017876686481071147,0.06504221308469033,0.0,0.22138930534732634,0.251,0.17912281668115893,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.17912281668115893,0.025100131805428652
DLinear_ETTh1_h336_none_s2021_det,ETTh1,DLinear,none,336,96,2021,deterministic,control,2545,0.014527626614868831,-0.014167598736589074,0.055290398677307805,0.0,0.3933033483258371,0.326,0.46371360268134465,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.46371360268134465,0.01677044260030029
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,96,2021,shuffled,index,2545,0.2657347443361967,-0.09614596879450783,0.4070251179271656,0.0,0.2513743128435782,0.177,5.794994952118059e-41,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,5.794994952118059e-41,0.19800156284060488
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,96,2021,shuffled,defect,2545,-0.013173038852653886,-0.037122804688866355,0.027856589752842057,0.0,0.6026986506746627,0.495,0.5064197449780647,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.5064197449780647,-0.009262417352577688
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,96,2021,shuffled,control,2545,0.0010560733109444339,-0.0468737177845294,0.04477899897840481,0.0,0.9660169915042479,0.972,0.9575197219720414,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.9575197219720414,0.00022946583209416116
DLinear_ETTh1_h336_none_s2022_det,ETTh1,DLinear,none,336,96,2022,deterministic,index,2545,0.26635390302658385,-0.1072962083023198,0.40271028075415294,0.0,0.24387806096951525,0.178,3.802411648023953e-41,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,3.802411648023953e-41,0.19401864567813049
DLinear_ETTh1_h336_none_s2022_det,ETTh1,DLinear,none,336,96,2022,deterministic,defect,2545,0.00036961746908374205,-0.03370808732226322,0.04408771254487629,0.0,0.9855072463768116,0.914,0.985126062656406,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.985126062656406,0.0029759842270975687
DLinear_ETTh1_h336_none_s2022_det,ETTh1,DLinear,none,336,96,2022,deterministic,control,2545,-0.013512564644037495,-0.04119439002868528,0.017291674815280426,0.0,0.45377311344327836,0.435,0.495524914133635,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.495524914133635,-0.012180926218888487
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,96,2022,shuffled,index,2545,0.26672483272364333,-0.11224262580136983,0.40455712743828354,0.0,0.2513743128435782,0.152,2.9527598272371414e-41,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,2.9527598272371414e-41,0.19995673843327097
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,96,2022,shuffled,defect,2545,-0.005842573018880331,-0.025460045643535704,0.015139814091708477,0.0,0.688655672163918,0.598,0.7682321008241861,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.7682321008241861,-0.005387929388248933
