cell_id,dataset,backbone,plugin,pred_len,seed,val_order,split,n,variant,r,z,p,null_sd,reject
DLinear_ETTh1_h336_fredf_s2022_shuf,ETTh1,DLinear,fredf,336,2022,shuffled,test,2545,full_permutation,-0.020210426182771676,-1.0001736847010814,0.8413867690318116,0.019813903049936903,0
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,val,2545,index_order,0.9997258432149325,50.47324190064101,0.0,0.019814834302593853,1
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,val,2545,full_permutation,-0.015983038853805292,-0.786782107522252,0.7842952853409801,0.019814834302593853,0
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,test,2545,index_order,0.9988704776954959,50.432507252216425,0.0,0.019813878268219277,1
DLinear_ETTh1_h336_fredf_s2023_det,ETTh1,DLinear,fredf,336,2023,deterministic,test,2545,full_permutation,0.0038852603060598686,0.2159265343791104,0.41452250675539093,0.019813878268219277,0
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,val,2545,index_order,0.9997258940612421,50.47327234377635,0.0,0.019814823358596224,1
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,val,2545,full_permutation,0.009600007341887993,0.504323905494671,0.30701689064299686,0.019814823358596224,0
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,val,2545,observed_loader_order,-0.00013673734651839864,0.012937002255772384,0.49483902678085606,0.019814823358596224,0
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,test,2545,index_order,0.9988681283793526,50.43240884347822,0.0,0.019813870347570768,1
DLinear_ETTh1_h336_fredf_s2023_shuf,ETTh1,DLinear,fredf,336,2023,shuffled,test,2545,full_permutation,-0.011848179037001081,-0.5781352696394936,0.7184136016552054,0.019813870347570768,0
DLinear_ETTh1_h336_none_s2021_det,ETTh1,DLinear,none,336,2021,deterministic,val,2545,index_order,0.999430212671218,50.45758506813796,0.0,0.019815123793222807,1
DLinear_ETTh1_h336_none_s2021_det,ETTh1,DLinear,none,336,2021,deterministic,val,2545,full_permutation,0.01221749057419703,0.6364114838140149,0.2622541289183613,0.019815123793222807,0
DLinear_ETTh1_h336_none_s2021_det,ETTh1,DLinear,none,336,2021,deterministic,test,2545,index_order,0.9982199986656412,50.39682526815181,0.0,0.019814999756695376,1
DLinear_ETTh1_h336_none_s2021_det,ETTh1,DLinear,none,336,2021,deterministic,test,2545,full_permutation,-0.00947356223176401,-0.4582629615066979,0.6766182346840428,0.019814999756695376,0
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,2021,shuffled,val,2545,index_order,0.9994471145655652,50.45827379755663,0.0,0.019815188294748747,1
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,2021,shuffled,val,2545,full_permutation,0.008779866201993608,0.4629250969788076,0.3217090287920795,0.019815188294748747,0
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,2021,shuffled,val,2545,observed_loader_order,0.038609059841361114,1.968295280479541,0.024517036334944432,0.019815188294748747,1
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,2021,shuffled,test,2545,index_order,0.9982726112687748,50.399501305529554,0.0,0.019814991560644927,1
