task,condition,n_blocks,mean_index,mean_condition,mean_diff,median_diff,wilcoxon_p
t1_rho,control,356,0.16683222681273147,-0.0012365423301536336,-0.16806876914288513,-0.21758690715292173,5.520066300178299e-37
t1_rho,defect,356,0.16683222681273147,-0.0006886512956771147,-0.1675208781084086,-0.2217279221549615,6.332325789957315e-38
t1_transfer,control,324,0.19018940090565864,-0.005265273112015534,-0.1954546740176742,-0.21172468591771465,1.920304886312918e-35
t1_transfer,defect,324,0.19018940090565864,0.010686118903693094,-0.17950328200196555,-0.20194454120339328,5.770229938645474e-35
t2_gain,control,96,-1.1673845161530017,-1.2221328419068775,-0.05474832575387584,0.0,0.6385013149354546
t2_gain,defect,96,-1.1673845161530017,-1.8093915073356157,-0.6420069911826141,-0.2609344778678441,0.005715306334912279
