n,rho_min_detectable,power_at_rho_0_5,power_at_rho_0_1
50,0.41385619122269934,0.9706664817215228,0.17418726161793208
100,0.2926405192496073,0.9996033849954737,0.259511022841444
200,0.20692809561134967,0.9999999712190598,0.4087972197938704
500,0.13087281880259152,1.0,0.7228115956892014
1000,0.09254105764831075,1.0,0.9354201700477401
2000,0.06543640940129576,1.0,0.9976527540587823
5000,0.04138561912226994,1.0,0.9999999712190598
11000,0.02790217872019051,1.0,1.0
