block_id,seed,val_order,variant,stride,overlap_ratio,n,n_arms,aot_median_p,aot_certify_rate,cat_rho_bar,cat_p,cat_certify
ETTh1_h192_DLinear,2021,deterministic,index_order,1,0.9965277777777778,2689,4,0.0,1.0,0.9891283417809601,0.0004997501249375312,1
ETTh1_h192_DLinear,2021,deterministic,full_permutation,1,0.9965277777777778,2689,4,0.3905330089342573,0.0,0.01496267463759947,0.026986506746626688,1
ETTh1_h192_DLinear,2021,deterministic,index_order,4,0.9861111111111112,673,4,6.443044703371211e-148,1.0,0.9890771535398873,0.0004997501249375312,1
ETTh1_h192_DLinear,2021,deterministic,full_permutation,4,0.9861111111111112,673,4,0.6390234497836531,0.0,0.0005764703313435472,0.46926536731634183,0
ETTh1_h192_DLinear,2021,deterministic,index_order,16,0.9444444444444444,169,4,8.456558157973758e-35,1.0,0.9882618136011799,0.0004997501249375312,1
ETTh1_h192_DLinear,2021,deterministic,full_permutation,16,0.9444444444444444,169,4,0.8001516746866217,0.25,-0.006225863126315613,0.5542228885557221,0
ETTh1_h192_DLinear,2021,deterministic,index_order,64,0.7777777777777778,43,4,9.898227742899983e-05,1.0,0.9881707439846973,0.0004997501249375312,1
ETTh1_h192_DLinear,2021,deterministic,full_permutation,64,0.7777777777777778,43,4,0.3315358032717817,0.0,0.005084063223598108,0.42778610694652675,0
ETTh1_h336_DLinear,2021,deterministic,index_order,1,0.9976851851851852,2545,4,0.0,1.0,0.9760474839328088,0.0004997501249375312,1
ETTh1_h336_DLinear,2021,deterministic,full_permutation,1,0.9976851851851852,2545,4,0.6602924740886079,0.0,-0.0030119352973236803,0.6306846576711644,0
ETTh1_h336_DLinear,2021,deterministic,index_order,4,0.9907407407407407,637,4,1.8711993824748395e-140,1.0,0.9763576495382426,0.0004997501249375312,1
ETTh1_h336_DLinear,2021,deterministic,full_permutation,4,0.9907407407407407,637,4,0.6084058944492786,0.0,0.012812395956740226,0.21639180409795103,0
ETTh1_h336_DLinear,2021,deterministic,index_order,16,0.962962962962963,160,4,2.3625155978944264e-34,1.0,0.9768404039220281,0.0004997501249375312,1
ETTh1_h336_DLinear,2021,deterministic,full_permutation,16,0.962962962962963,160,4,0.521675320914824,0.0,-0.026812570803547004,0.7831084457771115,0
ETTh1_h336_DLinear,2021,deterministic,index_order,64,0.8518518518518519,40,4,1.3833884632824006e-05,1.0,0.9839899937460913,0.0004997501249375312,1
ETTh1_h336_DLinear,2021,deterministic,full_permutation,64,0.8518518518518519,40,4,0.25474731680137275,0.25,-0.07851782363977486,0.8710644677661169,0
ETTh1_h336_DLinear,2021,shuffled,index_order,1,0.9976851851851852,2545,4,0.0,1.0,0.9755452794976435,0.0004997501249375312,1
ETTh1_h336_DLinear,2021,shuffled,full_permutation,1,0.9976851851851852,2545,4,0.8229439217326298,0.0,-0.0070909896309612405,0.8160919540229885,0
ETTh1_h336_DLinear,2021,shuffled,index_order,4,0.9907407407407407,637,4,1.8353031087015683e-140,1.0,0.9758227412516844,0.0004997501249375312,1
ETTh1_h336_DLinear,2021,shuffled,full_permutation,4,0.9907407407407407,637,4,0.29346770838115116,0.0,-0.004596427521420552,0.6166916541729135,0
