cell_id,draw,condition,assoc_rho_fstd,spearman_test
DLinear_ETTh1_h192_san_lite_s2021_det,5,defect,0.00568422258658088,0.20645813739932878
DLinear_ETTh1_h192_san_lite_s2021_det,5,control,-0.003140952760474362,-0.18803451937057103
DLinear_ETTh1_h192_san_lite_s2021_det,6,defect,-0.03377362388555328,0.06549403555940544
DLinear_ETTh1_h192_san_lite_s2021_det,6,control,0.01244398759170492,0.12134458941875277
DLinear_ETTh1_h192_san_lite_s2021_det,7,defect,0.0074992249506111225,-0.14348020087388808
DLinear_ETTh1_h192_san_lite_s2021_det,7,control,-0.016978556053487515,0.15407003050947007
DLinear_ETTh1_h336_fredf_s2021_det,0,defect,-0.009688336529801523,0.09060924238249699
DLinear_ETTh1_h336_fredf_s2021_det,0,control,0.034128607378567426,0.08528995635315151
DLinear_ETTh1_h336_fredf_s2021_det,1,defect,-0.012334643918314153,-0.0905351176107765
DLinear_ETTh1_h336_fredf_s2021_det,1,control,0.017708565045726116,-0.27368267448995115
DLinear_ETTh1_h336_fredf_s2021_det,2,defect,-0.03213682455520663,-0.0797742006485281
DLinear_ETTh1_h336_fredf_s2021_det,2,control,-0.004442668293408087,-0.015356081645462611
DLinear_ETTh1_h336_fredf_s2021_det,3,defect,0.015167001607018872,0.09704882824500329
DLinear_ETTh1_h336_fredf_s2021_det,3,control,-0.002239612569620421,-0.3078028192166541
DLinear_ETTh1_h336_fredf_s2021_det,4,defect,0.0162095116054699,0.10566179669211673
DLinear_ETTh1_h336_fredf_s2021_det,4,control,-0.011464054540879016,0.17568157761553166
DLinear_ETTh1_h336_fredf_s2021_det,5,defect,0.012203200665926731,-0.2653830125111254
DLinear_ETTh1_h336_fredf_s2021_det,5,control,-0.021127441462006125,0.012365060424757124
DLinear_ETTh1_h336_fredf_s2021_det,6,defect,0.013484409752914758,0.35051516370935926
DLinear_ETTh1_h336_fredf_s2021_det,6,control,0.019488841287884355,-0.12665118427999278
DLinear_ETTh1_h336_fredf_s2021_det,7,defect,0.006605516364228935,-0.08881116250434722
DLinear_ETTh1_h336_fredf_s2021_det,7,control,0.010161715543129324,-0.17367549815289246
DLinear_ETTh1_h336_fredf_s2021_shuf,0,defect,-0.00441487993569105,-0.14883478747692178
DLinear_ETTh1_h336_fredf_s2021_shuf,0,control,-0.012656017588635115,0.06347018041232427
